시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
도구시장,5일장,,경상북도 포항시 남구 동해면 도구리 668-1,"2일,7일",35.98798126,129.4399253,10,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1915,,2020-02-25,6470000,경상북도
장기시장,5일장,,경상북도 포항시 남구 장기면 임중리 333-2,"4일,9일",35.891559,129.491439,13,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1914,,2020-02-25,6470000,경상북도
신광시장,5일장,,경상북도 포항시 북구 신광면 토성리 486-5,"5일,10일",36.12868046,129.2619125,22,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1965,,2020-02-25,6470000,경상북도
기계시장,5일장,,경상북도 포항시 북구 기계면 현내리 403,"1일,6일",36.069939,129.208468,18,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1923,,2020-02-25,6470000,경상북도
죽장시장,5일장,,경상북도 포항시 북구 죽장면 입암리 858-34,"3일,8일",36.1615834095,129.0954338185,18,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1919,,2020-02-25,6470000,경상북도
청하시장,5일장,,경상북도 포항시 북구청하면 미남리 382-3,"1일,6일",36.19707345,129.3396632,12,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1965,,2020-02-25,6470000,경상북도
송라시장,5일장,,경상북도 포항시 북구 송라면 광천리 32-24,"3일,8일",36.228388,129.359177,12,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1924,,2020-02-25,6470000,경상북도
기북시장,5일장,,경상북도 포항시 북구 기북면 용기리 271-12,"2일,7일",36.12984286,129.1669131,5,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1958,,2020-02-25,6470000,경상북도
환호그린빌시장,상설장,,경상북도 포항시 북구 환호동 377-5,매일,36.06812814,129.3911471,35,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1996,,2020-02-25,6470000,경상북도
죽도시장,상설장,,경상북도 포항시 북구 죽도동 2-4,매일,36.0363609,129.3683902,476,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1971,054-247-3776,2020-02-25,6470000,경상북도
포항죽도어시장,상설장,,경상북도 포항시 북구 죽도동 1-8,매일,36.0366306,129.3686024,158,수산물,"포항사랑상품권, 온누리상품권",,Y,Y,1971,054-255-0088,2020-02-25,6470000,경상북도
죽도농산물시장,상설장,,경상북도 포항시 북구 죽도동 5-22,매일,36.03458764,129.3680309,707,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1971,054-247-7888,2020-02-25,6470000,경상북도
포항중앙상가,상설장,,경상북도 포항시 북구 대흥동 732-14,매일,36.03843091,129.3644897,228,"의류,잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,2007,054-231-8788,2020-02-25,6470000,경상북도
포항큰동해시장,상설장,,경상북도 포항시 남구 해도동 435-31,매일,36.02618753,129.3710936,105,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1980,054-276-4747,2020-02-25,6470000,경상북도
대해종합시장,상설장,,경상북도 포항시 남구 해도동 79-1,매일,36.01879902,129.3685608,108,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1981,,2020-02-25,6470000,경상북도
연일전통시장,상설장,,경상북도 포항시 남구 연일읍 생지리 194-1,매일,35.99635533,129.3486812,116,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1968,054-285-0032,2020-02-25,6470000,경상북도
오천삼광시장,상설장,,경상북도 포항시 남구 오천읍 구정리 34-5,매일,35.97830428,129.4123365,61,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1988,,2020-02-25,6470000,경상북도
