종목명,종목코드,현재가,전일가,시가,고가,상한가,저가,하한가,거래량,거래대금
쌍방울,102280 코스피,"1,050 전일대비 하락 340 마이너스 24.46 퍼센트","1,390","1,425","1,445","1,805","1,050",975,"243,133,570","313,725백만"
삼성전자,005930 코스피,"81,800 전일대비 상승 900 플러스 1.11 퍼센트","80,900","81,500","81,900","105,000","81,100","56,700","14,498,711","1,182,245백만"
한전산업,130660 코스피,"11,100 전일대비 상승 2,550 플러스 29.82 퍼센트","8,550","8,500","11,100","11,100","8,420","5,990","36,451,207","380,696백만"
HMM,011200 코스피,"45,050 전일대비 상승 500 플러스 1.12 퍼센트","44,550","44,450","46,350","57,900","43,950","31,200","7,147,860","325,353백만"
카카오,035720 코스피,"143,000 전일대비 하락 1,500 마이너스 1.04 퍼센트","144,500","144,000","146,000","187,500","142,500","101,500","4,972,835","714,047백만"
두산중공업,034020 코스피,"24,450 전일대비 상승 850 플러스 3.60 퍼센트","23,600","23,250","25,900","30,650","23,000","16,550","21,460,116","527,727백만"
NAVER,035420 코스피,"391,000 전일대비 상승 4,000 플러스 1.03 퍼센트","387,000","384,500","395,000","503,000","383,000","271,000","787,064","306,579백만"
대원전선,006340 코스피,"3,555 전일대비 상승 695 플러스 24.30 퍼센트","2,860","3,110","3,675","3,715","3,100","2,005","162,536,226","562,415백만"
셀트리온,068270 코스피,"271,500 전일대비 하락 3,500 마이너스 1.27 퍼센트","275,000","274,500","274,500","357,500","270,000","192,500","390,763","106,046백만"
가비아,079940 코스닥,"19,100 전일대비 상승 4,400 플러스 29.93 퍼센트","14,700","14,800","19,100","19,100","14,500","10,300","12,452,113","219,222백만"
